job_title,company,location,job_type,category,salary_min,salary_max,experience_required,publication_date,skills,education_level,company_size,benefits,salary_avg,publication_date_BR,cidade,estado,is_remote,salary_avg_z,experience_norm,salary_outlier,experience_outlier,salary_class
Product Manager,EnterpriseHub,"London, UK",Part-time,Technology,133776,232759,5,2025-11-27 00:00:00,"JavaScript, Machine Learning, Kubernetes, TensorFlow",Unspecified,1000+ employees,"Health Insurance, 401(k), Unlimited PTO",183267.5,27/11/2025,London,UK,Não,1.793781283130304,0.4166666666666667,False,False,High
Project Manager,TechCorp,"New York, NY",Remote,Technology,124814,235012,4,2025-11-27 00:00:00,"Java, CI/CD, TypeScript",Unspecified,51-200 employees,"Health Insurance, 401(k), Unlimited PTO",179913.0,27/11/2025,New York,NY,Sim,1.6843741163009822,0.3333333333333333,False,False,High
Product Manager,EnterpriseHub,"Seattle, WA",Part-time,Technology,130136,228915,4,2025-11-27 00:00:00,"AWS, React, Docker, Java, Kubernetes",PhD,501-1000 employees,"Stock Options, Remote Work Stipend",179525.5,27/11/2025,Seattle,WA,Não,1.671735786550986,0.3333333333333333,False,False,High
Engineering Manager,DigitalWorks,"Denver, CO",Part-time,Technology,124285,232235,3,2025-11-27 00:00:00,"AWS, Machine Learning, SQL, Go, TypeScript",Associate Degree,51-200 employees,"Stock Options, Remote Work Stipend",178260.0,27/11/2025,Denver,CO,Não,1.6304614477158375,0.25,False,False,High
Engineering Manager,AI Solutions,"Boston, MA",Part-time,Technology,112849,233748,2,2025-11-27 00:00:00,"AWS, Go, Machine Learning, Git, Ruby",Bachelor's Degree,501-1000 employees,"Dental, Vision, Annual Bonus",173298.5,27/11/2025,Boston,MA,Não,1.4686419043491123,0.16666666666666666,False,False,High
Engineering Manager,DataInc,"Chicago, IL",Remote,Technology,112205,224750,3,2025-11-27 00:00:00,"Go, SQL, AWS, Java, React",PhD,1000+ employees,"Dental, Vision, Annual Bonus",168477.5,27/11/2025,Chicago,IL,Sim,1.3114047747369022,0.25,False,False,High
Engineering Manager,CloudSystems,"Atlanta, GA",Contract,Technology,125001,210672,3,2025-11-27 00:00:00,"Docker, Agile, TensorFlow, AWS, Python, CI/CD",Unspecified,51-200 employees,"Health Insurance, 401(k), Unlimited PTO",167836.5,27/11/2025,Atlanta,GA,Não,1.2904985312020698,0.25,False,False,High
Technical Lead,WebDynamics,"San Francisco, CA",Contract,Technology,125359,209806,11,2025-11-27 00:00:00,"Node.js, Agile, Java",High School,201-500 employees,"Stock Options, Remote Work Stipend",167582.5,27/11/2025,San Francisco,CA,Não,1.2822143098949754,0.9166666666666666,False,True,High
Engineering Manager,EnterpriseHub,"Denver, CO",Remote,Technology,116663,216465,2,2025-11-27 00:00:00,"React, REST APIs, Java, Docker, TypeScript, Machine Learning",Master's Degree,201-500 employees,"Dental, Vision, Annual Bonus",166564.0,27/11/2025,Denver,CO,Sim,1.2489958870553082,0.16666666666666666,False,False,High
Engineering Manager,DataInc,"Austin, TX",Remote,Technology,111856,214647,3,2025-11-27 00:00:00,"TensorFlow, CI/CD, Python, TypeScript, Java, Go, SQL",Associate Degree,1000+ employees,"Health Insurance, 401(k), Unlimited PTO",163251.5,27/11/2025,Austin,TX,Sim,1.1409585520956635,0.25,False,False,High
Senior Software Engineer,DigitalWorks,"Denver, CO",Full-time,Technology,115867,203905,9,2025-11-27 00:00:00,"Docker, MongoDB, REST APIs, Go, Python, Git",Associate Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",159886.0,27/11/2025,Denver,CO,Não,1.0311926197766648,0.75,False,True,High
Senior Software Engineer,EnterpriseHub,"Boston, MA",Contract,Technology,119378,199930,9,2025-11-27 00:00:00,"Python, TypeScript, Node.js, TensorFlow",High School,501-1000 employees,"Stock Options, Remote Work Stipend",159654.0,27/11/2025,Boston,MA,Não,1.0236259294489252,0.75,False,True,High
Senior Data Scientist,CloudSystems,"Denver, CO",Full-time,Technology,119028,200044,6,2025-11-27 00:00:00,"Ruby, React, Node.js",High School,51-200 employees,"Health Insurance, 401(k), Unlimited PTO",159536.0,27/11/2025,Denver,CO,Não,1.0197773541960231,0.5,False,False,High
Lead Engineer,TechCorp,"Berlin, Germany",Part-time,Technology,114184,204087,9,2025-11-27 00:00:00,"JavaScript, Java, MongoDB",Bachelor's Degree,501-1000 employees,"Dental, Vision, Annual Bonus",159135.5,27/11/2025,Berlin,Germany,Não,1.0067150288673172,0.75,False,True,High
Senior Data Scientist,CloudSystems,"Chicago, IL",Contract,Technology,118237,197803,5,2025-11-27 00:00:00,"SQL, Kubernetes, React, Machine Learning, Python, Agile, Java",Bachelor's Degree,1-50 employees,"Stock Options, Remote Work Stipend",158020.0,27/11/2025,Chicago,IL,Não,0.9703329467095865,0.4166666666666667,False,False,High
Lead Engineer,DigitalWorks,"Boston, MA",Contract,Technology,115759,199751,12,2025-11-27 00:00:00,"Git, AWS, JavaScript, Machine Learning, Python, CI/CD",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",157755.0,27/11/2025,Boston,MA,Não,0.9616899599128148,1.0,False,True,High
Technical Lead,DigitalWorks,"New York, NY",Part-time,Technology,108456,206849,11,2025-11-27 00:00:00,"TypeScript, Python, Machine Learning, JavaScript, React",High School,1000+ employees,"Health Insurance, 401(k), Unlimited PTO",157652.5,27/11/2025,New York,NY,Não,0.9583469178499127,0.9166666666666666,False,True,High
Senior Data Scientist,EnterpriseHub,Remote,Contract,Technology,115733,197147,11,2025-11-27 00:00:00,"Git, Java, CI/CD, REST APIs, Python, Kubernetes, Go",Bachelor's Degree,201-500 employees,"Dental, Vision, Annual Bonus",156440.0,27/11/2025,Remote,Remote,Não,0.9188011763741182,0.9166666666666666,False,True,High
Lead Engineer,WebDynamics,"Atlanta, GA",Part-time,Technology,114256,197781,6,2025-11-27 00:00:00,"JavaScript, CI/CD, Java, REST APIs, Docker",Master's Degree,51-200 employees,"Stock Options, Remote Work Stipend",156018.5,27/11/2025,Atlanta,GA,Não,0.905053935110574,0.5,False,False,High
Lead Engineer,DataInc,"Denver, CO",Remote,Technology,118910,191852,9,2025-11-27 00:00:00,"Machine Learning, Node.js, CI/CD",Unspecified,501-1000 employees,"Dental, Vision, Annual Bonus",155381.0,27/11/2025,Denver,CO,Sim,0.8842618442315481,0.75,False,True,High
Data Scientist,CodeFactory,"New York, NY",Full-time,Technology,113649,196060,2,2025-11-27 00:00:00,"REST APIs, CI/CD, Python",Unspecified,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",154854.5,27/11/2025,New York,NY,Não,0.8670900232938114,0.16666666666666666,False,False,High
Senior Software Engineer,EnterpriseHub,"Toronto, Canada",Contract,Technology,111951,197281,5,2025-11-27 00:00:00,"AWS, CI/CD, REST APIs, Machine Learning, MongoDB, Agile, React",Bachelor's Degree,51-200 employees,"Stock Options, Remote Work Stipend",154616.0,27/11/2025,Toronto,Canada,Não,0.859311335176717,0.4166666666666667,False,False,High
Senior Data Scientist,InnovateLab,"Toronto, Canada",Remote,Technology,118274,189378,8,2025-11-27 00:00:00,"Machine Learning, Node.js, Go, React, Git, REST APIs, CI/CD",High School,201-500 employees,"Stock Options, Remote Work Stipend",153826.0,27/11/2025,Toronto,Canada,Sim,0.8335454500089828,0.6666666666666666,False,False,High
Senior Software Engineer,CodeFactory,"Atlanta, GA",Full-time,Technology,116897,190586,9,2025-11-27 00:00:00,"Kubernetes, Go, JavaScript, MongoDB, Node.js, Machine Learning",High School,501-1000 employees,"Dental, Vision, Annual Bonus",153741.5,27/11/2025,Atlanta,GA,Não,0.8307894787473707,0.75,False,True,High
Senior Software Engineer,CodeFactory,"Boston, MA",Full-time,Technology,106078,200220,12,2025-11-27 00:00:00,"MongoDB, TypeScript, Java",Unspecified,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO",153149.0,27/11/2025,Boston,MA,Não,0.8114650648715702,1.0,False,True,High
Senior Software Engineer,TechCorp,"Atlanta, GA",Full-time,Technology,106043,199399,9,2025-11-27 00:00:00,"Java, Agile, CI/CD, JavaScript, AWS",Master's Degree,1000+ employees,"Stock Options, Remote Work Stipend",152721.0,27/11/2025,Atlanta,GA,Não,0.7975058258186712,0.75,False,True,High
Senior Software Engineer,CloudSystems,"Austin, TX",Remote,Technology,105471,199090,6,2025-11-27 00:00:00,"TypeScript, Node.js, TensorFlow, Go, REST APIs, React, Python",High School,501-1000 employees,"Stock Options, Remote Work Stipend",152280.5,27/11/2025,Austin,TX,Sim,0.7831388987093207,0.5,False,False,High
Senior Software Engineer,InnovateLab,"Austin, TX",Contract,Technology,107776,195509,5,2025-11-27 00:00:00,"CI/CD, Git, JavaScript",Bachelor's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",151642.5,27/11/2025,Austin,TX,Não,0.7623305003080367,0.4166666666666667,False,False,High
Technical Lead,CloudSystems,"Seattle, WA",Part-time,Technology,107434,194992,12,2025-11-27 00:00:00,"Kubernetes, SQL, REST APIs, TensorFlow, MongoDB",Unspecified,1000+ employees,"Dental, Vision, Annual Bonus",151213.0,27/11/2025,Seattle,WA,Não,0.7483223386883636,1.0,False,True,High
Lead Engineer,DataInc,"Atlanta, GA",Contract,Technology,103724,197589,7,2025-11-27 00:00:00,"MongoDB, AWS, Python, Machine Learning, Kubernetes, JavaScript",Master's Degree,51-200 employees,"Health Insurance, 401(k), Unlimited PTO",150656.5,27/11/2025,Atlanta,GA,Não,0.7301720664151433,0.5833333333333334,False,False,High
Product Manager,WebDynamics,"Denver, CO",Remote,Technology,107618,193038,5,2025-11-27 00:00:00,"SQL, TensorFlow, MongoDB, REST APIs, Docker, Node.js",High School,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",150328.0,27/11/2025,Denver,CO,Sim,0.7194580242915981,0.4166666666666667,False,False,High
Technical Lead,DigitalWorks,"Seattle, WA",Part-time,Technology,109758,190478,7,2025-11-27 00:00:00,"SQL, TensorFlow, Node.js, Git, AWS",Unspecified,201-500 employees,"Health Insurance, 401(k), Unlimited PTO",150118.0,27/11/2025,Seattle,WA,Não,0.7126088649432132,0.5833333333333334,False,False,High
Frontend Developer,DataInc,"New York, NY",Part-time,Technology,107507,192555,2,2025-11-27 00:00:00,"TypeScript, JavaScript, SQL, Machine Learning, Docker",Master's Degree,51-200 employees,"Health Insurance, 401(k), Unlimited PTO",150031.0,27/11/2025,New York,NY,Não,0.7097713560703108,0.16666666666666666,False,False,High
Senior Solutions Architect,Automat-it,Berlin,Full-time,Remote,110000,190000,2,2025-11-27 06:42:10,Não Informado,Unspecified,201-500 employees,"Dental, Vision, Annual Bonus",150000.0,27/11/2025,Berlin,Não Informado,Não,0.7087602896903111,0.16666666666666666,False,False,High
Product Manager,DataInc,"Chicago, IL",Contract,Technology,105801,193211,3,2025-11-27 00:00:00,"Java, Ruby, Agile, AWS",Unspecified,1000+ employees,"Stock Options, Remote Work Stipend",149506.0,27/11/2025,Chicago,IL,Não,0.6926484576993482,0.25,False,False,High
Solutions Architect,EnterpriseHub,"London, UK",Remote,Technology,109002,189999,4,2025-11-27 00:00:00,"AWS, Go, JavaScript, Docker, Machine Learning",Master's Degree,51-200 employees,"Dental, Vision, Annual Bonus",149500.5,27/11/2025,London,UK,Sim,0.6924690749545096,0.3333333333333333,False,False,High
Software Engineer,DataInc,"San Francisco, CA",Part-time,Technology,104788,193973,5,2025-11-27 00:00:00,"AWS, TypeScript, MongoDB, React, Ruby, SQL, CI/CD",Associate Degree,201-500 employees,"Health Insurance, 401(k), Unlimited PTO",149380.5,27/11/2025,San Francisco,CA,Não,0.6885552696125753,0.4166666666666667,False,False,High
Backend Developer,InnovateLab,"San Francisco, CA",Contract,Technology,103684,194848,2,2025-11-27 00:00:00,"Kubernetes, Docker, Java, TensorFlow, Python, SQL, Git",Associate Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",149266.0,27/11/2025,San Francisco,CA,Não,0.6848208470154796,0.16666666666666666,False,False,High
Senior Software Engineer,CodeFactory,"Boston, MA",Full-time,Technology,102659,195385,5,2025-11-27 00:00:00,"React, REST APIs, CI/CD, Java, SQL, AWS",Unspecified,201-500 employees,"Dental, Vision, Annual Bonus",149022.0,27/11/2025,Boston,MA,Não,0.6768627761535466,0.4166666666666667,False,False,High
QA Engineer,DataInc,"New York, NY",Remote,Technology,111455,186282,4,2025-11-27 00:00:00,"JavaScript, React, Git, Docker, AWS, Ruby, TypeScript",PhD,201-500 employees,"Stock Options, Remote Work Stipend",148868.5,27/11/2025,New York,NY,Sim,0.6718563668203223,0.3333333333333333,False,False,High
Project Manager,CodeFactory,"Austin, TX",Full-time,Technology,103468,194130,2,2025-11-27 00:00:00,"TypeScript, Git, JavaScript, React, Kubernetes, AWS, Node.js",Bachelor's Degree,51-200 employees,"Stock Options, Remote Work Stipend",148799.0,27/11/2025,Austin,TX,Não,0.669589621226452,0.16666666666666666,False,False,High
Product Manager,InnovateLab,"Chicago, IL",Remote,Technology,106148,190939,4,2025-11-27 00:00:00,"JavaScript, Go, CI/CD, Machine Learning",PhD,201-500 employees,"Dental, Vision, Annual Bonus",148543.5,27/11/2025,Chicago,IL,Sim,0.6612564773525836,0.3333333333333333,False,False,High
Backend Developer,CodeFactory,"London, UK",Remote,Technology,111149,185900,4,2025-11-27 00:00:00,"Java, Docker, AWS, Go, Git, TypeScript, Node.js",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",148524.5,27/11/2025,London,UK,Sim,0.6606367915067773,0.3333333333333333,False,False,High
Senior Software Engineer,TechCorp,"Denver, CO",Part-time,Technology,104733,192020,8,2025-11-27 00:00:00,"Machine Learning, Docker, Java, Agile, React, SQL",Master's Degree,1000+ employees,"Stock Options, Remote Work Stipend",148376.5,27/11/2025,Denver,CO,Não,0.6558097649183917,0.6666666666666666,False,False,High
Project Manager,DigitalWorks,"Denver, CO",Full-time,Technology,109605,185719,2,2025-11-27 00:00:00,"JavaScript, Go, Ruby, Git, TensorFlow, REST APIs",Unspecified,51-200 employees,"Stock Options, Remote Work Stipend",147662.0,27/11/2025,Denver,CO,Não,0.6325063156116246,0.16666666666666666,False,False,High
Project Manager,CodeFactory,Remote,Part-time,Technology,106406,188827,4,2025-11-27 00:00:00,"Agile, SQL, TensorFlow, Machine Learning",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",147616.5,27/11/2025,Remote,Remote,Não,0.6310223310861411,0.3333333333333333,False,False,High
Software Engineer,EnterpriseHub,"San Francisco, CA",Remote,Technology,113693,181173,2,2025-11-27 00:00:00,"Node.js, TensorFlow, CI/CD, REST APIs",Unspecified,51-200 employees,"Dental, Vision, Annual Bonus",147433.0,27/11/2025,San Francisco,CA,Sim,0.6250374704174333,0.16666666666666666,False,False,High
Machine Learning Engineer,WebDynamics,"New York, NY",Contract,Technology,103982,190665,5,2025-11-27 00:00:00,"CI/CD, Go, REST APIs, TypeScript, Node.js",Associate Degree,1-50 employees,"Dental, Vision, Annual Bonus",147323.5,27/11/2025,New York,NY,Não,0.6214661230429183,0.4166666666666667,False,False,High
Project Manager,CloudSystems,Remote,Full-time,Technology,99351,194988,2,2025-11-27 00:00:00,"Machine Learning, AWS, Kubernetes, Docker, SQL, Ruby",Associate Degree,201-500 employees,"Dental, Vision, Annual Bonus",147169.5,27/11/2025,Remote,Remote,Não,0.6164434061874359,0.16666666666666666,False,False,High
Senior Data Scientist,DataInc,"Atlanta, GA",Full-time,Technology,110033,184236,9,2025-11-27 00:00:00,"JavaScript, Git, SQL, Kubernetes",Associate Degree,1000+ employees,"Dental, Vision, Annual Bonus",147134.5,27/11/2025,Atlanta,GA,Não,0.6153018796293718,0.75,False,True,High
DevOps Engineer,DigitalWorks,"San Francisco, CA",Remote,Technology,112214,181264,3,2025-11-27 00:00:00,"Python, REST APIs, Go, Java",PhD,1-50 employees,"Stock Options, Remote Work Stipend",146739.0,27/11/2025,San Francisco,CA,Sim,0.6024026295232466,0.25,False,False,High
Frontend Developer,TechCorp,"New York, NY",Remote,Technology,97145,196212,3,2025-11-27 00:00:00,"Java, Ruby, Node.js",PhD,501-1000 employees,"Dental, Vision, Annual Bonus",146678.5,27/11/2025,New York,NY,Sim,0.6004294193300215,0.25,False,False,High
Machine Learning Engineer,DataInc,"New York, NY",Remote,Technology,106755,186095,2,2025-11-27 00:00:00,"Agile, REST APIs, AWS, Git, Machine Learning, CI/CD",Unspecified,1000+ employees,"Health Insurance, 401(k), Unlimited PTO",146425.0,27/11/2025,New York,NY,Sim,0.5921615055451852,0.16666666666666666,False,False,High
Backend Developer,StartupXYZ,"London, UK",Remote,Technology,103022,188756,4,2025-11-27 00:00:00,"Java, REST APIs, Python, JavaScript",PhD,501-1000 employees,"Stock Options, Remote Work Stipend",145889.0,27/11/2025,London,UK,Sim,0.5746798416845454,0.3333333333333333,False,False,High
Data Scientist,DataInc,"Seattle, WA",Full-time,Technology,104474,187248,3,2025-11-27 00:00:00,"AWS, SQL, Agile, Ruby, Git, JavaScript",Unspecified,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO",145861.0,27/11/2025,Seattle,WA,Não,0.573766620438094,0.25,False,False,High
DevOps Engineer,DigitalWorks,"San Francisco, CA",Part-time,Technology,103733,186360,3,2025-11-27 00:00:00,"Ruby, MongoDB, JavaScript, CI/CD, Machine Learning, REST APIs, Git",Associate Degree,51-200 employees,"Stock Options, Remote Work Stipend",145046.5,27/11/2025,San Francisco,CA,Não,0.547201666679715,0.25,False,False,High
Product Manager,InnovateLab,"Atlanta, GA",Remote,Technology,108664,181419,5,2025-11-27 00:00:00,"Python, AWS, Java, Machine Learning, Go, Docker",Master's Degree,51-200 employees,"Dental, Vision, Annual Bonus",145041.5,27/11/2025,Atlanta,GA,Sim,0.5470385914571344,0.4166666666666667,False,False,High
Project Manager,CloudSystems,Remote,Contract,Technology,109337,180013,4,2025-11-27 00:00:00,"Machine Learning, JavaScript, Kubernetes",Bachelor's Degree,51-200 employees,"Dental, Vision, Annual Bonus",144675.0,27/11/2025,Remote,Remote,Não,0.5350851776419768,0.3333333333333333,False,False,High
Machine Learning Engineer,TechCorp,"New York, NY",Full-time,Technology,107485,181694,4,2025-11-27 00:00:00,"Ruby, AWS, SQL, TensorFlow",High School,1000+ employees,"Stock Options, Remote Work Stipend",144589.5,27/11/2025,New York,NY,Não,0.5322965913358486,0.3333333333333333,False,False,Medium
Solutions Architect,InnovateLab,"New York, NY",Remote,Technology,106239,182583,5,2025-11-27 00:00:00,"JavaScript, Agile, Kubernetes, React",Master's Degree,1-50 employees,"Dental, Vision, Annual Bonus",144411.0,27/11/2025,New York,NY,Sim,0.5264748058897213,0.4166666666666667,False,False,Medium
Machine Learning Engineer,TechCorp,"San Francisco, CA",Full-time,Technology,112535,176131,2,2025-11-27 00:00:00,"TypeScript, Kubernetes, Go, Git, SQL, Node.js, TensorFlow",Unspecified,501-1000 employees,"Dental, Vision, Annual Bonus",144333.0,27/11/2025,San Francisco,CA,Não,0.5239308324174641,0.16666666666666666,False,False,Medium
Software Engineer,DataInc,"San Francisco, CA",Contract,Technology,105618,182763,2,2025-11-27 00:00:00,"Ruby, REST APIs, AWS, CI/CD, TypeScript, Agile, JavaScript",Bachelor's Degree,501-1000 employees,"Dental, Vision, Annual Bonus",144190.5,27/11/2025,San Francisco,CA,Não,0.5192831885739171,0.16666666666666666,False,False,Medium
Frontend Developer,WebDynamics,"New York, NY",Remote,Technology,109745,178290,4,2025-11-27 00:00:00,"Go, MongoDB, CI/CD, Machine Learning, Agile, Java",Bachelor's Degree,1000+ employees,"Stock Options, Remote Work Stipend",144017.5,27/11/2025,New York,NY,Sim,0.5136407858726285,0.3333333333333333,False,False,Medium
Security Engineer,EnterpriseHub,"London, UK",Contract,Technology,100122,187098,5,2025-11-27 00:00:00,"Node.js, TensorFlow, TypeScript, SQL",PhD,1-50 employees,"Stock Options, Remote Work Stipend",143610.0,27/11/2025,London,UK,Não,0.50035015523231,0.4166666666666667,False,False,Medium
Lead Engineer,EnterpriseHub,"Austin, TX",Contract,Technology,102627,184145,10,2025-11-27 00:00:00,"Agile, Machine Learning, Python, React",PhD,1000+ employees,"Stock Options, Remote Work Stipend",143386.0,27/11/2025,Austin,TX,Não,0.4930443852606992,0.8333333333333334,False,True,Medium
Product Manager,StartupXYZ,"Austin, TX",Part-time,Technology,102940,181529,4,2025-11-27 00:00:00,"AWS, MongoDB, TypeScript",PhD,1-50 employees,"Dental, Vision, Annual Bonus",142234.5,27/11/2025,Austin,TX,Não,0.45548816150038807,0.3333333333333333,False,False,Medium
Project Manager,InnovateLab,"Toronto, Canada",Remote,Technology,100562,183103,5,2025-11-27 00:00:00,"JavaScript, REST APIs, Machine Learning, React",Master's Degree,501-1000 employees,"Dental, Vision, Annual Bonus",141832.5,27/11/2025,Toronto,Canada,Sim,0.44237691360490816,0.4166666666666667,False,False,Medium
Software Engineer,DigitalWorks,"London, UK",Full-time,Technology,96309,187356,3,2025-11-27 00:00:00,"Node.js, Machine Learning, SQL, Docker, Go",Associate Degree,501-1000 employees,"Dental, Vision, Annual Bonus",141832.5,27/11/2025,London,UK,Não,0.44237691360490816,0.25,False,False,Medium
Solutions Architect,DataInc,"Seattle, WA",Remote,Technology,110280,173023,4,2025-11-27 00:00:00,"MongoDB, React, TensorFlow",High School,1-50 employees,"Stock Options, Remote Work Stipend",141651.5,27/11/2025,Seattle,WA,Sim,0.43647359054749063,0.3333333333333333,False,False,Medium
Frontend Developer,InnovateLab,"Seattle, WA",Remote,Technology,95592,185558,2,2025-11-27 00:00:00,"Git, MongoDB, Go, Agile, React, Ruby, Machine Learning",Associate Degree,1-50 employees,"Dental, Vision, Annual Bonus",140575.0,27/11/2025,Seattle,WA,Sim,0.40136349512588837,0.16666666666666666,False,False,Medium
Project Manager,AI Solutions,"Toronto, Canada",Contract,Technology,98217,182780,3,2025-11-27 00:00:00,"TensorFlow, Git, Machine Learning, Python",Unspecified,1000+ employees,"Health Insurance, 401(k), Unlimited PTO",140498.5,27/11/2025,Toronto,Canada,Não,0.3988684442204053,0.25,False,False,Medium
Machine Learning Engineer,AI Solutions,"New York, NY",Remote,Technology,98780,181433,2,2025-11-27 00:00:00,"SQL, AWS, REST APIs, Kubernetes, Machine Learning",PhD,501-1000 employees,"Stock Options, Remote Work Stipend",140106.5,27/11/2025,New York,NY,Sim,0.3860833467700866,0.16666666666666666,False,False,Medium
Talent Acquisition Manager:in,Skalar,Munich,Manager,Recruitment and Selection,100000,180000,2,2025-11-26 17:31:35,Não Informado,High School,501-1000 employees,"Stock Options, Remote Work Stipend",140000.0,26/11/2025,Munich,Não Informado,Não,0.3826098445291199,0.16666666666666666,False,False,Medium
Account Manager,Paymentology,Berlin,Full-time,Remote,100000,180000,7,2025-11-26 21:42:09,Não Informado,Unspecified,201-500 employees,"Dental, Vision, Annual Bonus",140000.0,26/11/2025,Berlin,Não Informado,Não,0.3826098445291199,0.5833333333333334,False,False,Medium
Technical Account Manager - DACH,SolarEdge,Munich,Full-time,Remote,100000,180000,5,2025-11-26 21:42:09,Não Informado,Master's Degree,1000+ employees,"Health Insurance, 401(k), Unlimited PTO",140000.0,26/11/2025,Munich,Não Informado,Não,0.3826098445291199,0.4166666666666667,False,False,Medium
Technical Account Manager - DACH,SolarEdge,Munich,Full-time,Remote,100000,180000,5,2025-11-27 03:42:09,Não Informado,Unspecified,501-1000 employees,"Dental, Vision, Annual Bonus",140000.0,27/11/2025,Munich,Não Informado,Não,0.3826098445291199,0.4166666666666667,False,False,Medium
Account Manager,Paymentology,Berlin,Full-time,Remote,100000,180000,7,2025-11-26 18:42:09,Não Informado,Associate Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",140000.0,26/11/2025,Berlin,Não Informado,Não,0.3826098445291199,0.5833333333333334,False,False,Medium
Account Manager,Paymentology,Berlin,Full-time,Remote,100000,180000,7,2025-11-27 03:42:09,Não Informado,Unspecified,501-1000 employees,"Stock Options, Remote Work Stipend",140000.0,27/11/2025,Berlin,Não Informado,Não,0.3826098445291199,0.5833333333333334,False,False,Medium
